n,k,sure
100,2,0.042
100,3,0.043
100,4,0.045
100,5,0.021
100,6,0.026
100,7,0.025
100,8,0.044
100,9,0.028
100,10,0.032
100,2,0.033
100,3,0.050
100,4,0.034
100,5,0.023
100,6,0.028
100,7,0.024
100,8,0.040
100,9,0.029
100,10,0.032
100,2,0.059
100,3,0.032
100,4,0.030
100,5,0.023
100,6,0.026
100,7,0.027
100,8,0.029
100,9,0.030
100,10,0.033
100,2,0.037
100,3,0.121
100,4,0.030
100,5,0.023
100,6,0.039
100,7,0.228
100,8,0.031
100,9,0.030
100,10,0.033
100,2,0.038
100,3,0.033
100,4,0.023
100,5,0.023
100,6,0.026
100,7,0.026
100,8,0.030
100,9,0.029
100,10,0.031
100,2,0.036
100,3,0.072
100,4,0.033
100,5,0.061
100,6,0.026
100,7,0.026
100,8,0.045
100,9,0.030
100,10,0.032
100,2,0.039
100,3,0.028
100,4,0.031
100,5,0.024
100,6,0.040
100,7,0.027
100,8,0.045
100,9,0.031
100,10,0.048
100,2,0.440
100,3,0.040
100,4,0.492
100,5,0.027
100,6,0.026
100,7,0.036
100,8,0.031
100,9,0.025
100,10,0.036
100,2,0.039
100,3,0.039
100,4,0.032
100,5,0.028
100,6,0.027
100,7,0.027
100,8,0.030
100,9,0.031
100,10,0.049
100,2,0.032
100,3,0.029
100,4,0.031
100,5,0.037
100,6,0.027
100,7,0.032
100,8,0.031
100,9,0.032
100,10,0.051
1000,2,0.790
1000,3,0.436
1000,4,0.397
1000,5,0.416
1000,6,0.357
1000,7,0.417
1000,8,0.456
1000,9,0.669
1000,10,0.547
1000,2,0.332
1000,3,0.431
1000,4,0.265
1000,5,0.252
1000,6,0.213
1000,7,0.246
1000,8,0.421
1000,9,0.541
1000,10,0.518
1000,2,0.517
1000,3,0.307
1000,4,0.247
1000,5,0.472
1000,6,0.347
1000,7,0.253
1000,8,0.834
1000,9,0.482
1000,10,0.797
1000,2,0.354
1000,3,0.505
1000,4,0.485
1000,5,0.461
1000,6,0.214
1000,7,0.625
1000,8,0.462
1000,9,0.261
1000,10,0.298
1000,2,0.332
1000,3,0.408
1000,4,0.233
1000,5,0.240
1000,6,0.245
1000,7,0.281
1000,8,0.278
1000,9,0.277
1000,10,0.294
1000,2,0.635
1000,3,0.386
1000,4,0.234
1000,5,0.236
1000,6,0.204
1000,7,0.251
1000,8,0.268
1000,9,0.280
1000,10,0.295
1000,2,0.332
1000,3,0.232
1000,4,0.241
1000,5,0.237
1000,6,0.212
1000,7,0.251
1000,8,0.282
1000,9,0.278
1000,10,0.339
1000,2,0.326
1000,3,0.297
1000,4,0.237
1000,5,0.274
1000,6,0.211
1000,7,0.485
1000,8,0.273
1000,9,0.624
1000,10,0.297
1000,2,0.383
1000,3,0.239
1000,4,0.796
1000,5,0.237
1000,6,0.551
1000,7,0.252
1000,8,0.324
1000,9,0.460
1000,10,0.290
1000,2,0.334
1000,3,0.238
1000,4,0.235
1000,5,0.233
1000,6,0.396
1000,7,0.256
1000,8,0.301
1000,9,0.461
1000,10,0.293
10000,2,4.206
10000,3,2.567
10000,4,2.257
10000,5,2.415
10000,6,3.989
10000,7,2.633
10000,8,2.932
10000,9,3.786
10000,10,3.640
10000,2,3.534
10000,3,2.561
10000,4,2.669
10000,5,2.466
10000,6,2.891
10000,7,2.981
10000,8,3.509
10000,9,3.133
10000,10,3.338
10000,2,3.897
10000,3,2.801
10000,4,2.244
10000,5,2.685
10000,6,2.858
10000,7,2.937
10000,8,2.914
10000,9,4.781
10000,10,3.395
10000,2,3.383
10000,3,2.900
10000,4,2.403
10000,5,2.370
10000,6,3.245
10000,7,3.175
10000,8,2.875
10000,9,3.472
10000,10,4.451
10000,2,3.365
10000,3,2.710
10000,4,2.969
10000,5,2.349
10000,6,3.413
10000,7,4.248
10000,8,2.882
10000,9,5.106
10000,10,4.736
10000,2,3.303
10000,3,2.370
10000,4,2.196
10000,5,2.326
10000,6,2.742
10000,7,2.591
10000,8,3.005
10000,9,3.241
10000,10,3.713
10000,2,4.257
10000,3,2.329
10000,4,2.502
10000,5,4.815
10000,6,2.685
10000,7,2.522
10000,8,4.557
10000,9,3.106
10000,10,3.942
10000,2,4.063
10000,3,2.307
10000,4,2.189
10000,5,2.822
10000,6,2.706
10000,7,2.687
10000,8,2.838
10000,9,3.145
10000,10,3.355
10000,2,3.315
10000,3,2.357
10000,4,2.159
10000,5,2.401
10000,6,2.739
10000,7,2.444
10000,8,2.925
10000,9,3.156
10000,10,3.351
10000,2,4.145
10000,3,2.556
10000,4,2.134
10000,5,2.326
10000,6,2.735
10000,7,2.636
10000,8,2.854
10000,9,3.370
10000,10,3.625
100000,2,41.616
100000,3,29.878
100000,4,27.767
100000,5,30.837
100000,6,30.253
100000,7,29.186
100000,8,32.856
100000,9,38.867
100000,10,38.228
100000,2,40.848
100000,3,29.335
100000,4,31.357
100000,5,32.803
100000,6,36.762
100000,7,34.519
100000,8,39.721
100000,9,49.261
100000,10,42.021
100000,2,68.687
100000,3,28.711
100000,4,28.832
100000,5,30.579
100000,6,29.755
100000,7,30.133
100000,8,36.486
100000,9,37.415
100000,10,41.376
100000,2,41.171
100000,3,28.002
100000,4,26.953
100000,5,30.587
100000,6,33.843
100000,7,31.496
100000,8,35.729
100000,9,47.167
100000,10,43.446
100000,2,40.241
100000,3,27.556
100000,4,27.934
100000,5,29.874
100000,6,35.255
100000,7,30.962
100000,8,34.336
100000,9,38.285
100000,10,43.396
100000,2,41.390
100000,3,28.332
100000,4,29.040
100000,5,30.634
100000,6,31.992
100000,7,29.362
100000,8,33.476
100000,9,39.146
100000,10,41.936
100000,2,41.200
100000,3,30.582
100000,4,27.596
100000,5,29.673
100000,6,29.990
100000,7,30.578
100000,8,34.802
100000,9,37.927
100000,10,41.032
100000,2,42.002
100000,3,28.874
100000,4,27.769
100000,5,30.330
100000,6,31.233
100000,7,30.482
100000,8,35.451
100000,9,39.032
100000,10,43.905
100000,2,44.210
100000,3,34.752
100000,4,27.646
100000,5,32.530
100000,6,31.345
100000,7,29.003
100000,8,34.909
100000,9,38.532
100000,10,39.656
100000,2,39.168
100000,3,27.861
100000,4,28.105
100000,5,32.053
100000,6,32.584
100000,7,29.951
100000,8,34.497
100000,9,38.470
100000,10,41.275
1000000,2,442.355
1000000,3,307.666
1000000,4,305.811
1000000,5,319.201
1000000,6,331.678
1000000,7,382.308
1000000,8,402.054
1000000,9,429.325
1000000,10,432.115
1000000,2,358.385
1000000,3,252.196
1000000,4,207.210
1000000,5,200.537
1000000,6,196.058
1000000,7,226.331
1000000,8,216.173
1000000,9,254.699
1000000,10,297.722
1000000,2,263.320
1000000,3,212.564
1000000,4,191.025
1000000,5,196.897
1000000,6,194.731
1000000,7,223.507
1000000,8,226.954
1000000,9,245.367
1000000,10,293.643
1000000,2,269.520
1000000,3,221.500
1000000,4,193.298
1000000,5,218.534
1000000,6,202.188
1000000,7,260.351
1000000,8,221.261
1000000,9,254.092
1000000,10,280.517
1000000,2,272.551
1000000,3,185.888
1000000,4,190.398
1000000,5,201.921
1000000,6,194.522
1000000,7,234.363
1000000,8,220.762
1000000,9,281.836
1000000,10,273.031
1000000,2,268.765
1000000,3,187.618
1000000,4,190.367
1000000,5,191.367
1000000,6,206.874
1000000,7,253.155
1000000,8,226.661
1000000,9,261.573
1000000,10,274.912
1000000,2,272.980
1000000,3,193.511
1000000,4,186.208
1000000,5,190.590
1000000,6,195.377
1000000,7,222.639
1000000,8,226.537
1000000,9,249.791
1000000,10,281.609
1000000,2,271.353
1000000,3,194.305
1000000,4,187.271
1000000,5,198.717
1000000,6,195.605
1000000,7,224.571
1000000,8,218.901
1000000,9,261.391
1000000,10,265.324
1000000,2,262.524
1000000,3,189.828
1000000,4,190.749
1000000,5,195.452
1000000,6,198.646
1000000,7,225.298
1000000,8,223.309
1000000,9,256.733
1000000,10,274.161
1000000,2,266.397
1000000,3,189.989
1000000,4,192.190
1000000,5,197.558
1000000,6,200.380
1000000,7,227.452
1000000,8,220.023
1000000,9,257.610
1000000,10,274.562
10000000,2,2925.302
10000000,3,2175.863
10000000,4,2018.845
10000000,5,2256.476
10000000,6,2462.399
10000000,7,2550.859
10000000,8,2441.725
10000000,9,2725.451
10000000,10,3037.525
10000000,2,2955.777
10000000,3,2151.582
10000000,4,2034.642
10000000,5,2199.631
10000000,6,2454.553
10000000,7,2552.599
10000000,8,2368.643
10000000,9,2693.448
10000000,10,3052.450
10000000,2,2909.104
10000000,3,2200.238
10000000,4,2060.157
10000000,5,2302.164
10000000,6,2443.217
10000000,7,2552.702
10000000,8,2482.618
10000000,9,2752.142
10000000,10,3090.119
10000000,2,2954.452
10000000,3,2165.837
10000000,4,2030.273
10000000,5,2235.084
10000000,6,2457.053
10000000,7,2536.695
10000000,8,2457.637
10000000,9,2762.228
10000000,10,3097.189
10000000,2,2890.685
10000000,3,2209.375
10000000,4,2055.835
10000000,5,2273.436
10000000,6,2457.665
10000000,7,2557.557
10000000,8,2395.574
10000000,9,2717.072
10000000,10,3051.428
10000000,2,2944.177
10000000,3,2203.502
10000000,4,2041.744
10000000,5,2259.038
10000000,6,2474.644
10000000,7,2609.588
10000000,8,2387.916
10000000,9,2729.804
10000000,10,3022.652
10000000,2,2923.722
10000000,3,2175.350
10000000,4,2033.771
10000000,5,2225.639
10000000,6,2485.619
10000000,7,2577.830
10000000,8,2397.178
10000000,9,2691.333
10000000,10,3036.417
10000000,2,2954.647
10000000,3,2216.588
10000000,4,1997.157
10000000,5,2211.684
10000000,6,2431.068
10000000,7,2541.917
10000000,8,2413.602
10000000,9,2699.038
10000000,10,3060.661
10000000,2,2969.859
10000000,3,2170.894
10000000,4,2024.282
10000000,5,2263.205
10000000,6,2481.082
10000000,7,2573.384
1000
